"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B17004_002",560,111
"2","19003","Adams County, Iowa","B17004_002",384,91
"3","19005","Allamakee County, Iowa","B17004_002",1066,227
"4","19007","Appanoose County, Iowa","B17004_002",1525,279
"5","19009","Audubon County, Iowa","B17004_002",429,82
"6","19011","Benton County, Iowa","B17004_002",1817,274
"7","19013","Black Hawk County, Iowa","B17004_002",15320,825
"8","19015","Boone County, Iowa","B17004_002",1649,279
"9","19017","Bremer County, Iowa","B17004_002",1376,250
"10","19019","Buchanan County, Iowa","B17004_002",1283,202
"11","19021","Buena Vista County, Iowa","B17004_002",1408,286
"12","19023","Butler County, Iowa","B17004_002",1062,129
"13","19025","Calhoun County, Iowa","B17004_002",815,137
"14","19027","Carroll County, Iowa","B17004_002",1384,247
"15","19029","Cass County, Iowa","B17004_002",1339,247
"16","19031","Cedar County, Iowa","B17004_002",911,146
"17","19033","Cerro Gordo County, Iowa","B17004_002",3323,362
"18","19035","Cherokee County, Iowa","B17004_002",916,203
"19","19037","Chickasaw County, Iowa","B17004_002",672,118
"20","19039","Clarke County, Iowa","B17004_002",789,215
"21","19041","Clay County, Iowa","B17004_002",1080,212
"22","19043","Clayton County, Iowa","B17004_002",1551,263
"23","19045","Clinton County, Iowa","B17004_002",4501,407
"24","19047","Crawford County, Iowa","B17004_002",2262,344
"25","19049","Dallas County, Iowa","B17004_002",3459,619
"26","19051","Davis County, Iowa","B17004_002",590,197
"27","19053","Decatur County, Iowa","B17004_002",977,156
"28","19055","Delaware County, Iowa","B17004_002",1122,246
"29","19057","Des Moines County, Iowa","B17004_002",4189,454
"30","19059","Dickinson County, Iowa","B17004_002",1069,193
"31","19061","Dubuque County, Iowa","B17004_002",7900,568
"32","19063","Emmet County, Iowa","B17004_002",734,160
"33","19065","Fayette County, Iowa","B17004_002",1602,206
"34","19067","Floyd County, Iowa","B17004_002",1388,238
"35","19069","Franklin County, Iowa","B17004_002",923,212
"36","19071","Fremont County, Iowa","B17004_002",584,110
"37","19073","Greene County, Iowa","B17004_002",589,119
"38","19075","Grundy County, Iowa","B17004_002",519,93
"39","19077","Guthrie County, Iowa","B17004_002",692,108
"40","19079","Hamilton County, Iowa","B17004_002",1075,267
"41","19081","Hancock County, Iowa","B17004_002",797,150
"42","19083","Hardin County, Iowa","B17004_002",1133,185
"43","19085","Harrison County, Iowa","B17004_002",1040,139
"44","19087","Henry County, Iowa","B17004_002",1314,237
"45","19089","Howard County, Iowa","B17004_002",582,140
"46","19091","Humboldt County, Iowa","B17004_002",854,146
"47","19093","Ida County, Iowa","B17004_002",570,108
"48","19095","Iowa County, Iowa","B17004_002",1080,228
"49","19097","Jackson County, Iowa","B17004_002",1865,262
"50","19099","Jasper County, Iowa","B17004_002",2629,382
"51","19101","Jefferson County, Iowa","B17004_002",1882,410
"52","19103","Johnson County, Iowa","B17004_002",21624,1122
"53","19105","Jones County, Iowa","B17004_002",1265,209
"54","19107","Keokuk County, Iowa","B17004_002",752,140
"55","19109","Kossuth County, Iowa","B17004_002",1195,160
"56","19111","Lee County, Iowa","B17004_002",3241,374
"57","19113","Linn County, Iowa","B17004_002",16049,1099
"58","19115","Louisa County, Iowa","B17004_002",809,156
"59","19117","Lucas County, Iowa","B17004_002",728,166
"60","19119","Lyon County, Iowa","B17004_002",387,89
"61","19121","Madison County, Iowa","B17004_002",656,163
"62","19123","Mahaska County, Iowa","B17004_002",2160,334
"63","19125","Marion County, Iowa","B17004_002",1937,252
"64","19127","Marshall County, Iowa","B17004_002",3213,430
"65","19129","Mills County, Iowa","B17004_002",958,303
"66","19131","Mitchell County, Iowa","B17004_002",552,142
"67","19133","Monona County, Iowa","B17004_002",945,158
"68","19135","Monroe County, Iowa","B17004_002",640,147
"69","19137","Montgomery County, Iowa","B17004_002",827,119
"70","19139","Muscatine County, Iowa","B17004_002",2768,365
"71","19141","O'Brien County, Iowa","B17004_002",1063,198
"72","19143","Osceola County, Iowa","B17004_002",432,96
"73","19145","Page County, Iowa","B17004_002",1242,230
"74","19147","Palo Alto County, Iowa","B17004_002",388,81
"75","19149","Plymouth County, Iowa","B17004_002",1523,260
"76","19151","Pocahontas County, Iowa","B17004_002",556,98
"77","19153","Polk County, Iowa","B17004_002",34393,1932
"78","19155","Pottawattamie County, Iowa","B17004_002",7044,627
"79","19157","Poweshiek County, Iowa","B17004_002",1384,245
"80","19159","Ringgold County, Iowa","B17004_002",268,70
"81","19161","Sac County, Iowa","B17004_002",690,105
"82","19163","Scott County, Iowa","B17004_002",14198,1034
"83","19165","Shelby County, Iowa","B17004_002",682,157
"84","19167","Sioux County, Iowa","B17004_002",1452,278
"85","19169","Story County, Iowa","B17004_002",16572,1002
"86","19171","Tama County, Iowa","B17004_002",1342,182
"87","19173","Taylor County, Iowa","B17004_002",462,86
"88","19175","Union County, Iowa","B17004_002",1275,203
"89","19177","Van Buren County, Iowa","B17004_002",601,127
"90","19179","Wapello County, Iowa","B17004_002",3707,463
"91","19181","Warren County, Iowa","B17004_002",2752,415
"92","19183","Washington County, Iowa","B17004_002",1446,232
"93","19185","Wayne County, Iowa","B17004_002",663,118
"94","19187","Webster County, Iowa","B17004_002",3574,484
"95","19189","Winnebago County, Iowa","B17004_002",606,149
"96","19191","Winneshiek County, Iowa","B17004_002",1159,220
"97","19193","Woodbury County, Iowa","B17004_002",8598,799
"98","19195","Worth County, Iowa","B17004_002",441,87
"99","19197","Wright County, Iowa","B17004_002",947,187
