"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B11012_009",565,79
"2","19003","Adams County, Iowa","B11012_009",264,48
"3","19005","Allamakee County, Iowa","B11012_009",845,125
"4","19007","Appanoose County, Iowa","B11012_009",1076,115
"5","19009","Audubon County, Iowa","B11012_009",444,75
"6","19011","Benton County, Iowa","B11012_009",1208,164
"7","19013","Black Hawk County, Iowa","B11012_009",8924,442
"8","19015","Boone County, Iowa","B11012_009",1537,223
"9","19017","Bremer County, Iowa","B11012_009",1429,142
"10","19019","Buchanan County, Iowa","B11012_009",1079,138
"11","19021","Buena Vista County, Iowa","B11012_009",1010,150
"12","19023","Butler County, Iowa","B11012_009",896,88
"13","19025","Calhoun County, Iowa","B11012_009",653,93
"14","19027","Carroll County, Iowa","B11012_009",1470,168
"15","19029","Cass County, Iowa","B11012_009",1198,137
"16","19031","Cedar County, Iowa","B11012_009",1171,144
"17","19033","Cerro Gordo County, Iowa","B11012_009",3604,308
"18","19035","Cherokee County, Iowa","B11012_009",904,159
"19","19037","Chickasaw County, Iowa","B11012_009",825,105
"20","19039","Clarke County, Iowa","B11012_009",797,140
"21","19041","Clay County, Iowa","B11012_009",1192,210
"22","19043","Clayton County, Iowa","B11012_009",1229,109
"23","19045","Clinton County, Iowa","B11012_009",3183,290
"24","19047","Crawford County, Iowa","B11012_009",888,155
"25","19049","Dallas County, Iowa","B11012_009",5052,482
"26","19051","Davis County, Iowa","B11012_009",480,93
"27","19053","Decatur County, Iowa","B11012_009",508,75
"28","19055","Delaware County, Iowa","B11012_009",982,153
"29","19057","Des Moines County, Iowa","B11012_009",3056,244
"30","19059","Dickinson County, Iowa","B11012_009",1381,152
"31","19061","Dubuque County, Iowa","B11012_009",5960,339
"32","19063","Emmet County, Iowa","B11012_009",700,96
"33","19065","Fayette County, Iowa","B11012_009",1283,126
"34","19067","Floyd County, Iowa","B11012_009",1136,145
"35","19069","Franklin County, Iowa","B11012_009",521,76
"36","19071","Fremont County, Iowa","B11012_009",380,54
"37","19073","Greene County, Iowa","B11012_009",702,107
"38","19075","Grundy County, Iowa","B11012_009",788,96
"39","19077","Guthrie County, Iowa","B11012_009",662,73
"40","19079","Hamilton County, Iowa","B11012_009",970,192
"41","19081","Hancock County, Iowa","B11012_009",553,93
"42","19083","Hardin County, Iowa","B11012_009",1292,133
"43","19085","Harrison County, Iowa","B11012_009",820,87
"44","19087","Henry County, Iowa","B11012_009",1256,148
"45","19089","Howard County, Iowa","B11012_009",594,102
"46","19091","Humboldt County, Iowa","B11012_009",747,108
"47","19093","Ida County, Iowa","B11012_009",496,57
"48","19095","Iowa County, Iowa","B11012_009",993,163
"49","19097","Jackson County, Iowa","B11012_009",1297,157
"50","19099","Jasper County, Iowa","B11012_009",2064,248
"51","19101","Jefferson County, Iowa","B11012_009",1336,209
"52","19103","Johnson County, Iowa","B11012_009",9248,588
"53","19105","Jones County, Iowa","B11012_009",1184,175
"54","19107","Keokuk County, Iowa","B11012_009",661,74
"55","19109","Kossuth County, Iowa","B11012_009",1049,135
"56","19111","Lee County, Iowa","B11012_009",2126,207
"57","19113","Linn County, Iowa","B11012_009",14701,589
"58","19115","Louisa County, Iowa","B11012_009",582,80
"59","19117","Lucas County, Iowa","B11012_009",523,94
"60","19119","Lyon County, Iowa","B11012_009",509,82
"61","19121","Madison County, Iowa","B11012_009",870,154
"62","19123","Mahaska County, Iowa","B11012_009",1348,160
"63","19125","Marion County, Iowa","B11012_009",1935,174
"64","19127","Marshall County, Iowa","B11012_009",2297,237
"65","19129","Mills County, Iowa","B11012_009",734,125
"66","19131","Mitchell County, Iowa","B11012_009",768,106
"67","19133","Monona County, Iowa","B11012_009",773,108
"68","19135","Monroe County, Iowa","B11012_009",565,124
"69","19137","Montgomery County, Iowa","B11012_009",756,109
"70","19139","Muscatine County, Iowa","B11012_009",2267,258
"71","19141","O'Brien County, Iowa","B11012_009",1169,136
"72","19143","Osceola County, Iowa","B11012_009",452,67
"73","19145","Page County, Iowa","B11012_009",1218,144
"74","19147","Palo Alto County, Iowa","B11012_009",614,94
"75","19149","Plymouth County, Iowa","B11012_009",1286,153
"76","19151","Pocahontas County, Iowa","B11012_009",535,73
"77","19153","Polk County, Iowa","B11012_009",30277,1036
"78","19155","Pottawattamie County, Iowa","B11012_009",6002,353
"79","19157","Poweshiek County, Iowa","B11012_009",1319,146
"80","19159","Ringgold County, Iowa","B11012_009",311,57
"81","19161","Sac County, Iowa","B11012_009",645,70
"82","19163","Scott County, Iowa","B11012_009",11025,494
"83","19165","Shelby County, Iowa","B11012_009",854,135
"84","19167","Sioux County, Iowa","B11012_009",1515,194
"85","19169","Story County, Iowa","B11012_009",5740,453
"86","19171","Tama County, Iowa","B11012_009",972,86
"87","19173","Taylor County, Iowa","B11012_009",433,65
"88","19175","Union County, Iowa","B11012_009",1005,149
"89","19177","Van Buren County, Iowa","B11012_009",402,70
"90","19179","Wapello County, Iowa","B11012_009",2377,190
"91","19181","Warren County, Iowa","B11012_009",2618,228
"92","19183","Washington County, Iowa","B11012_009",1228,136
"93","19185","Wayne County, Iowa","B11012_009",470,69
"94","19187","Webster County, Iowa","B11012_009",2880,199
"95","19189","Winnebago County, Iowa","B11012_009",731,112
"96","19191","Winneshiek County, Iowa","B11012_009",1252,169
"97","19193","Woodbury County, Iowa","B11012_009",5574,395
"98","19195","Worth County, Iowa","B11012_009",467,55
"99","19197","Wright County, Iowa","B11012_009",989,119
