"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B12007_002",NA,NA
"2","19003","Adams County, Iowa","B12007_002",NA,NA
"3","19005","Allamakee County, Iowa","B12007_002",NA,NA
"4","19007","Appanoose County, Iowa","B12007_002",NA,NA
"5","19009","Audubon County, Iowa","B12007_002",NA,NA
"6","19011","Benton County, Iowa","B12007_002",NA,NA
"7","19013","Black Hawk County, Iowa","B12007_002",NA,NA
"8","19015","Boone County, Iowa","B12007_002",NA,NA
"9","19017","Bremer County, Iowa","B12007_002",NA,NA
"10","19019","Buchanan County, Iowa","B12007_002",NA,NA
"11","19021","Buena Vista County, Iowa","B12007_002",NA,NA
"12","19023","Butler County, Iowa","B12007_002",NA,NA
"13","19025","Calhoun County, Iowa","B12007_002",NA,NA
"14","19027","Carroll County, Iowa","B12007_002",NA,NA
"15","19029","Cass County, Iowa","B12007_002",NA,NA
"16","19031","Cedar County, Iowa","B12007_002",NA,NA
"17","19033","Cerro Gordo County, Iowa","B12007_002",NA,NA
"18","19035","Cherokee County, Iowa","B12007_002",NA,NA
"19","19037","Chickasaw County, Iowa","B12007_002",NA,NA
"20","19039","Clarke County, Iowa","B12007_002",NA,NA
"21","19041","Clay County, Iowa","B12007_002",NA,NA
"22","19043","Clayton County, Iowa","B12007_002",NA,NA
"23","19045","Clinton County, Iowa","B12007_002",NA,NA
"24","19047","Crawford County, Iowa","B12007_002",NA,NA
"25","19049","Dallas County, Iowa","B12007_002",NA,NA
"26","19051","Davis County, Iowa","B12007_002",NA,NA
"27","19053","Decatur County, Iowa","B12007_002",NA,NA
"28","19055","Delaware County, Iowa","B12007_002",NA,NA
"29","19057","Des Moines County, Iowa","B12007_002",NA,NA
"30","19059","Dickinson County, Iowa","B12007_002",NA,NA
"31","19061","Dubuque County, Iowa","B12007_002",NA,NA
"32","19063","Emmet County, Iowa","B12007_002",NA,NA
"33","19065","Fayette County, Iowa","B12007_002",NA,NA
"34","19067","Floyd County, Iowa","B12007_002",NA,NA
"35","19069","Franklin County, Iowa","B12007_002",NA,NA
"36","19071","Fremont County, Iowa","B12007_002",NA,NA
"37","19073","Greene County, Iowa","B12007_002",NA,NA
"38","19075","Grundy County, Iowa","B12007_002",NA,NA
"39","19077","Guthrie County, Iowa","B12007_002",NA,NA
"40","19079","Hamilton County, Iowa","B12007_002",NA,NA
"41","19081","Hancock County, Iowa","B12007_002",NA,NA
"42","19083","Hardin County, Iowa","B12007_002",NA,NA
"43","19085","Harrison County, Iowa","B12007_002",NA,NA
"44","19087","Henry County, Iowa","B12007_002",NA,NA
"45","19089","Howard County, Iowa","B12007_002",NA,NA
"46","19091","Humboldt County, Iowa","B12007_002",NA,NA
"47","19093","Ida County, Iowa","B12007_002",NA,NA
"48","19095","Iowa County, Iowa","B12007_002",NA,NA
"49","19097","Jackson County, Iowa","B12007_002",NA,NA
"50","19099","Jasper County, Iowa","B12007_002",NA,NA
"51","19101","Jefferson County, Iowa","B12007_002",NA,NA
"52","19103","Johnson County, Iowa","B12007_002",NA,NA
"53","19105","Jones County, Iowa","B12007_002",NA,NA
"54","19107","Keokuk County, Iowa","B12007_002",NA,NA
"55","19109","Kossuth County, Iowa","B12007_002",NA,NA
"56","19111","Lee County, Iowa","B12007_002",NA,NA
"57","19113","Linn County, Iowa","B12007_002",NA,NA
"58","19115","Louisa County, Iowa","B12007_002",NA,NA
"59","19117","Lucas County, Iowa","B12007_002",NA,NA
"60","19119","Lyon County, Iowa","B12007_002",NA,NA
"61","19121","Madison County, Iowa","B12007_002",NA,NA
"62","19123","Mahaska County, Iowa","B12007_002",NA,NA
"63","19125","Marion County, Iowa","B12007_002",NA,NA
"64","19127","Marshall County, Iowa","B12007_002",NA,NA
"65","19129","Mills County, Iowa","B12007_002",NA,NA
"66","19131","Mitchell County, Iowa","B12007_002",NA,NA
"67","19133","Monona County, Iowa","B12007_002",NA,NA
"68","19135","Monroe County, Iowa","B12007_002",NA,NA
"69","19137","Montgomery County, Iowa","B12007_002",NA,NA
"70","19139","Muscatine County, Iowa","B12007_002",NA,NA
