GEOID,NAME,variable,estimate,moe
"19041","Clay County, Iowa",B02001_003,112,79
"19003","Adams County, Iowa",B02001_003,2,4
"19185","Wayne County, Iowa",B02001_003,19,12
"19021","Buena Vista County, Iowa",B02001_003,505,68
"19111","Lee County, Iowa",B02001_003,946,111
"19045","Clinton County, Iowa",B02001_003,1320,207
"19059","Dickinson County, Iowa",B02001_003,77,50
"19009","Audubon County, Iowa",B02001_003,11,16
"19063","Emmet County, Iowa",B02001_003,199,56
"19163","Scott County, Iowa",B02001_003,12954,589
"19127","Marshall County, Iowa",B02001_003,502,99
"19025","Calhoun County, Iowa",B02001_003,150,55
"19029","Cass County, Iowa",B02001_003,26,28
"19123","Mahaska County, Iowa",B02001_003,312,92
"19135","Monroe County, Iowa",B02001_003,2,4
"19011","Benton County, Iowa",B02001_003,143,51
"19005","Allamakee County, Iowa",B02001_003,176,57
"19183","Washington County, Iowa",B02001_003,172,49
"19095","Iowa County, Iowa",B02001_003,151,103
"19105","Jones County, Iowa",B02001_003,435,167
"19187","Webster County, Iowa",B02001_003,1727,140
"19195","Worth County, Iowa",B02001_003,121,28
"19035","Cherokee County, Iowa",B02001_003,228,105
"19129","Mills County, Iowa",B02001_003,103,64
"19065","Fayette County, Iowa",B02001_003,444,130
"19077","Guthrie County, Iowa",B02001_003,34,26
"19159","Ringgold County, Iowa",B02001_003,4,6
"19197","Wright County, Iowa",B02001_003,49,56
"19043","Clayton County, Iowa",B02001_003,170,80
"19017","Bremer County, Iowa",B02001_003,228,58
"19167","Sioux County, Iowa",B02001_003,122,43
"19151","Pocahontas County, Iowa",B02001_003,40,43
"19033","Cerro Gordo County, Iowa",B02001_003,747,134
"19153","Polk County, Iowa",B02001_003,32518,1072
"19175","Union County, Iowa",B02001_003,62,51
"19007","Appanoose County, Iowa",B02001_003,89,28
"19155","Pottawattamie County, Iowa",B02001_003,1638,233
"19055","Delaware County, Iowa",B02001_003,36,45
"19083","Hardin County, Iowa",B02001_003,221,94
"19125","Marion County, Iowa",B02001_003,349,54
"19061","Dubuque County, Iowa",B02001_003,3440,206
"19081","Hancock County, Iowa",B02001_003,172,80
"19171","Tama County, Iowa",B02001_003,157,17
"19173","Taylor County, Iowa",B02001_003,1,2
"19057","Des Moines County, Iowa",B02001_003,2258,276
"19049","Dallas County, Iowa",B02001_003,1654,233
"19169","Story County, Iowa",B02001_003,2213,320
"19099","Jasper County, Iowa",B02001_003,738,143
"19191","Winneshiek County, Iowa",B02001_003,308,110
"19139","Muscatine County, Iowa",B02001_003,1065,129
"19001","Adair County, Iowa",B02001_003,39,15
"19053","Decatur County, Iowa",B02001_003,141,44
"19177","Van Buren County, Iowa",B02001_003,48,38
"19143","Osceola County, Iowa",B02001_003,76,33
"19193","Woodbury County, Iowa",B02001_003,3706,400
"19031","Cedar County, Iowa",B02001_003,260,122
"19047","Crawford County, Iowa",B02001_003,477,100
"19091","Humboldt County, Iowa",B02001_003,38,26
"19071","Fremont County, Iowa",B02001_003,55,46
"19087","Henry County, Iowa",B02001_003,444,69
"19179","Wapello County, Iowa",B02001_003,1248,127
"19089","Howard County, Iowa",B02001_003,29,19
"19109","Kossuth County, Iowa",B02001_003,114,62
"19189","Winnebago County, Iowa",B02001_003,181,51
"19147","Palo Alto County, Iowa",B02001_003,214,75
"19039","Clarke County, Iowa",B02001_003,6,15
"19093","Ida County, Iowa",B02001_003,47,17
"19079","Hamilton County, Iowa",B02001_003,202,18
"19101","Jefferson County, Iowa",B02001_003,1305,767
"19103","Johnson County, Iowa",B02001_003,10815,307
"19015","Boone County, Iowa",B02001_003,168,104
"19157","Poweshiek County, Iowa",B02001_003,354,59
"19117","Lucas County, Iowa",B02001_003,8,11
"19075","Grundy County, Iowa",B02001_003,74,41
"19027","Carroll County, Iowa",B02001_003,19,45
"19107","Keokuk County, Iowa",B02001_003,46,28
"19067","Floyd County, Iowa",B02001_003,271,60
"19037","Chickasaw County, Iowa",B02001_003,129,36
"19051","Davis County, Iowa",B02001_003,4,8
"19085","Harrison County, Iowa",B02001_003,27,22
"19115","Louisa County, Iowa",B02001_003,126,22
"19013","Black Hawk County, Iowa",B02001_003,12534,373
"19097","Jackson County, Iowa",B02001_003,92,79
"19149","Plymouth County, Iowa",B02001_003,244,102
"19133","Monona County, Iowa",B02001_003,27,38
"19161","Sac County, Iowa",B02001_003,71,57
"19019","Buchanan County, Iowa",B02001_003,36,24
"19121","Madison County, Iowa",B02001_003,38,35
"19069","Franklin County, Iowa",B02001_003,25,23
"19141","O'Brien County, Iowa",B02001_003,175,46
"19181","Warren County, Iowa",B02001_003,260,140
"19165","Shelby County, Iowa",B02001_003,88,62
"19131","Mitchell County, Iowa",B02001_003,32,36
"19119","Lyon County, Iowa",B02001_003,10,12
"19073","Greene County, Iowa",B02001_003,48,36
"19137","Montgomery County, Iowa",B02001_003,11,20
"19023","Butler County, Iowa",B02001_003,153,57
"19113","Linn County, Iowa",B02001_003,12389,790
"19145","Page County, Iowa",B02001_003,305,107
