X,Y,OBJECTID,MAPLABELNA,LEGENDTYPE,PUBLICVIEW,LOCID,stfacid,progid,facName,opStatus,piStartDate,PWSSource,PWSType,SubName,SubProgID,countyName,FO,Latitude,Longitude,X_Coord,Y_Coord,Accuracy,colMthTxt,refPntTxt,VerifyTxt,collectBy,ColDate,locComment,Congress,StHouse,StSenate,HUC,Hyperlink
-93.3669704145223,43.1760892017131,120376,Andrews Prestressed Concrete-plant,4,0,20000123882,310341841,IA1716893   ,Andrews Prestressed Concrete-plant,Inactive,1986/11/01 00:00:00+00,Ground Water,Non-Transient Non-Community,PLANT #1                                ,2571893,Cerro Gordo,2,43.17608,-93.36696,470175,4780434,3300,ZIP CODE-CENTROID,PLANT ENTRANCE (GENERAL),,,2001/08/14 00:00:00+00,,04,12,06,070802030303,https://facilityexplorer.iowadnr.gov/FacilityExplorer/SiteDetail.aspx?facID=310341841
-93.3669704145223,43.1760892017131,120376,Andrews Prestressed Concrete-plant,4,0,20000123882,310341841,IA1716893   ,Andrews Prestressed Concrete-plant,Inactive,1986/11/01 00:00:00+00,Ground Water,Non-Transient Non-Community,PLANT #1                                ,2571893,Cerro Gordo,2,43.17608,-93.36696,470175,4780434,3300,ZIP CODE-CENTROID,PLANT ENTRANCE (GENERAL),,,2001/08/14 00:00:00+00,,04,12,06,070802030303,https://facilityexplorer.iowadnr.gov/FacilityExplorer/SiteDetail.aspx?facID=310341841
-93.2386711462856,42.7683793230593,120409,Beeds Lake State Park South,4,0,20000134059,310383387,IA3544931   ,Beeds Lake State Park South,Active,1976/01/01 00:00:00+00,Ground Water,Transient Non-Community,PLANT #1                                ,2572775,Franklin,2,42.76837,-93.23866,480474,4735121,15,GPS CODE (PSEUDO RANGE) STANDARD POSITION (SA OFF),PLANT ENTRANCE (GENERAL),,,2004/06/03 00:00:00+00,,04,12,06,070802040404,https://facilityexplorer.iowadnr.gov/FacilityExplorer/SiteDetail.aspx?facID=310383387
-93.2386711462856,42.7683793230593,120409,Beeds Lake State Park South,4,0,20000134059,310383387,IA3544931   ,Beeds Lake State Park South,Active,1976/01/01 00:00:00+00,Ground Water,Transient Non-Community,PLANT #1                                ,2572775,Franklin,2,42.76837,-93.23866,480474,4735121,15,GPS CODE (PSEUDO RANGE) STANDARD POSITION (SA OFF),PLANT ENTRANCE (GENERAL),,,2004/06/03 00:00:00+00,,04,12,06,070802040404,https://facilityexplorer.iowadnr.gov/FacilityExplorer/SiteDetail.aspx?facID=310383387
-91.5101126395779,43.4704515870198,120410,Knotty Pine Tavern,4,0,20000132852,310370735,IA0315201   ,Knotty Pine Tavern,Active,1981/04/01 00:00:00+00,Ground Water,Transient Non-Community,PLANT #1                                ,2571375,Allamakee,1,43.47044,-91.51011,620509,4814137,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL),,,2004/11/08 00:00:00+00,,01,16,08,0706000206,https://facilityexplorer.iowadnr.gov/FacilityExplorer/SiteDetail.aspx?facID=310370735
-91.5101126395779,43.4704515870198,120410,Knotty Pine Tavern,4,0,20000132852,310370735,IA0315201   ,Knotty Pine Tavern,Active,1981/04/01 00:00:00+00,Ground Water,Transient Non-Community,PLANT #1                                ,2571375,Allamakee,1,43.47044,-91.51011,620509,4814137,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL),,,2004/11/08 00:00:00+00,,01,16,08,0706000206,https://facilityexplorer.iowadnr.gov/FacilityExplorer/SiteDetail.aspx?facID=310370735
-96.3529552963391,42.3497871943446,120444,Gelita Usa Sioux City,4,0,20000131251,310396197,IA9778108   ,Gelita Usa Sioux City,Inactive,1988/10/01 00:00:00+00,Ground Water,Non-Transient Non-Community,PLANT #1                                ,2572545,Woodbury,3,42.34978,-96.35295,223828,4694060,15,GPS CODE (PSEUDO RANGE) STANDARD POSITION (SA OFF),PLANT ENTRANCE (GENERAL),,,,,04,55,28,1023000108,https://facilityexplorer.iowadnr.gov/FacilityExplorer/SiteDetail.aspx?facID=310396197
-96.3529552963391,42.3497871943446,120444,Gelita Usa Sioux City,4,0,20000131251,310396197,IA9778108   ,Gelita Usa Sioux City,Inactive,1988/10/01 00:00:00+00,Ground Water,Non-Transient Non-Community,PLANT #1                                ,2572545,Woodbury,3,42.34978,-96.35295,223828,4694060,15,GPS CODE (PSEUDO RANGE) STANDARD POSITION (SA OFF),PLANT ENTRANCE (GENERAL),,,,,04,55,28,1023000108,https://facilityexplorer.iowadnr.gov/FacilityExplorer/SiteDetail.aspx?facID=310396197
-90.7686814041897,42.460820132249,120587,Barrington Lakes Water System,4,0,20000131703,310386793,IA3126301   ,Barrington Lakes Water System,Inactive,1977/06/01 00:00:00+00,Purchased Ground Water,Community,PLANT #1                                ,2572211,Dubuque,1,42.46081,-90.76867,683458,4703354,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL),,,2004/09/01 00:00:00+00,,01,25,13,070600050101,https://facilityexplorer.iowadnr.gov/FacilityExplorer/SiteDetail.aspx?facID=310386793
-90.7686814041897,42.460820132249,120587,Barrington Lakes Water System,4,0,20000131703,310386793,IA3126301   ,Barrington Lakes Water System,Inactive,1977/06/01 00:00:00+00,Purchased Ground Water,Community,PLANT #1                                ,2572211,Dubuque,1,42.46081,-90.76867,683458,4703354,20,INTERPOLATION-PHOTO,PLANT ENTRANCE (GENERAL),,,2004/09/01 00:00:00+00,,01,25,13,070600050101,https://facilityexplorer.iowadnr.gov/FacilityExplorer/SiteDetail.aspx?facID=310386793
